Product Name,Category,Displayed Price,Factured Price,Quantity,Product Link
SLIMMING TEA BAGS,Health & Beauty,﷼189,639,$ 21,https://cod.network/affiliate/offers/feff8710-1af4-4f26-a772-9db664cea5c6
MORINGA LUNCH SUPPLEMENT,Health & Beauty,﷼189,1393,$ 23,https://cod.network/affiliate/offers/00bda8fb-dd26-41df-bfc6-c3a0d0094be6
SMART CAMERA,Electronics & Accessories,﷼189,229,$ 24,https://cod.network/affiliate/offers/7bc7468c-56b4-45a2-9069-492434490565
MEAT PRESSING MOLD,"Home, Garden & Furniture",﷼119,494,$ 8,https://cod.network/affiliate/offers/8fbc534e-9200-4396-9444-a098531b56e7
VEGETABLE AND FRUIT PEELER (PURPLE),"Home, Garden & Furniture",﷼179,233,$ 20,https://cod.network/affiliate/offers/9afcdb93-7e44-4d4c-9318-07912446f8d5
ELECTRIC WHISK (BLACK),Electronics & Accessories,﷼199,232,$ 21,https://cod.network/affiliate/offers/a914ade3-ae16-49e2-9a83-1e3a49542897
GOLDEN LURE PHEROMONE PERFUME,"Clothing, Shoes & Jewelry",﷼179,2749,$ 23,https://cod.network/affiliate/offers/71de55ef-73ab-4811-8917-29a5dcf6ea8e
BAELLERRY WALLET LEATHER,"Clothing, Shoes & Jewelry",﷼199,50,$ 23,https://cod.network/affiliate/offers/8fd925bf-df49-46dd-b1f5-26799271e9c8
MAGNETIC BRACELET FOR MEN,"Clothing, Shoes & Jewelry",﷼179,590,$ 25,https://cod.network/affiliate/offers/ce1be084-ce28-45bd-9a50-8be9651cb64a
HANDBAG FOR WOMEN,"Clothing, Shoes & Jewelry",﷼199,300,$ 21,https://cod.network/affiliate/offers/01d55945-2a97-4742-874a-f5f0a5515ebf
FRONT SLIT BRA,Lingerie,﷼189,343,$ 22,https://cod.network/affiliate/offers/58f4ce6a-3a38-4be1-83cb-968638038ef1
LEATHER WOMEN WALLET,"Clothing, Shoes & Jewelry",﷼199,515,$ 23,https://cod.network/affiliate/offers/027683a0-9d67-426b-ac81-a42fbc7bb27b
NATURAL LUNG AND RESPIRATORY SUPPORT SPRAY,Health & Beauty,﷼179,1694,$ 21,https://cod.network/affiliate/offers/489816f2-701e-40f2-a300-ca0fd0b7701e
MULTI-PURPOSE CUTTER,"Home, Garden & Furniture",﷼209,970,$ 21,https://cod.network/affiliate/offers/d4b0c7cd-b7db-453c-bbcd-bb82b3f2ea0f
MULTI-PURPOSE CHOPPER,"Home, Garden & Furniture",﷼179,488,$ 21,https://cod.network/affiliate/offers/9cd7ec14-f937-427e-b162-71550ce4817e
FLAT FLOOR MOP,"Home, Garden & Furniture",﷼199,295,$ 22,https://cod.network/affiliate/offers/25b99ecd-4cd5-4c8e-b634-52e8da405570
GREEN SLIMMING TEA,Health & Beauty,﷼189,77,$ 21,https://cod.network/affiliate/offers/1b2d3174-c999-4c4b-8935-f88d66cb1d6f
SLEEP AID DEVICE,Electronics & Accessories,﷼199,328,$ 22,https://cod.network/affiliate/offers/b38e0f67-2db3-4a38-8411-c7d90b8c0d0b
HIP BUTT ENLARGEMENT GUMMIES,Health & Beauty,﷼199,160,$ 24,https://cod.network/affiliate/offers/31c8acd3-5d62-405d-895e-a83b284e10b9
MAGNETIC CAMERA FOR SURVEILLANCE,Electronics & Accessories,﷼189,1569,$ 21,https://cod.network/affiliate/offers/fbe41c05-7736-4570-b313-8279794becf1
FRECKLE REMOVER FOR SKIN WHITENING,Health & Beauty,﷼169,2500,$ 25,https://cod.network/affiliate/offers/da79b1dc-edb0-42ef-a616-d007d8a9cd16
ELASTIC ARM SLEEVES,"Clothing, Shoes & Jewelry",﷼199,360,$ 29,https://cod.network/affiliate/offers/ec62fe70-f6d1-49a5-bac9-d7ed9b6ac659
YELLOW PEEL OIL,Health & Beauty,﷼175,433,$ 23,https://cod.network/affiliate/offers/0d3ba7f7-32d4-48a6-93f3-5d9a979a3096
ARGAN HAIR MASK,Health & Beauty,﷼179,1131,$ 24,https://cod.network/affiliate/offers/b0389351-fe57-45b3-9774-8447ffe7f6e1
SPORTS KNEE BRACE,Health & Beauty,﷼159,150,$ 23,https://cod.network/affiliate/offers/e15aa8eb-24eb-41b4-b193-dd1412a8fc91
SILICONE INSTEP PADS,"Clothing, Shoes & Jewelry",﷼179,385,$ 25,https://cod.network/affiliate/offers/e1205b21-440a-4975-85a0-cebba19560bc
WOMEN SLIMMING SHAPEWEAR,"Clothing, Shoes & Jewelry",﷼159,340,$ 20,https://cod.network/affiliate/offers/02ea0182-12f6-4bf1-b47a-d38938591ab9
ELECTRIC MANICURE SET,Health & Beauty,﷼169,91,$ 23,https://cod.network/affiliate/offers/7364c503-3c10-4d75-930b-7934e2712d05
WOMEN ORTHOPEDIC SNEAKERS,"Clothing, Shoes & Jewelry",﷼179,103,$ 22,https://cod.network/affiliate/offers/81709584-d869-4423-bed2-f5544830492e
BACK CORSET,Health & Beauty,﷼129,354,$ 20,https://cod.network/affiliate/offers/35491b45-2ae8-4632-becb-aab6c9474274
SMART BACK POSTURE CORRECTOR,Health & Beauty,﷼159,61,$ 20,https://cod.network/affiliate/offers/b2941932-29e1-463a-9392-718ca87375b5
ELECTRIC DOOR HANDLE,"Home, Garden & Furniture",﷼289,318,$ 20,https://cod.network/affiliate/offers/9aa54a1c-6eee-409a-9c50-e4e982584b5d
ELECTRIC NAIL POLISH DRYER,Health & Beauty,﷼189,998,$ 28,https://cod.network/affiliate/offers/e80910a4-0d90-49a5-9ec5-f25091b01b6e
TEETH CLEANING POWDER,Health & Beauty,﷼179,382,$ 25,https://cod.network/affiliate/offers/5048e38c-48e2-4ba3-9cb7-b3c7b29db8e2
MOBILE PHONE LOCKING DEVICE,Electronics & Accessories,﷼239,299,$ 21,https://cod.network/affiliate/offers/761a58d5-9667-4eed-8c0d-7c9abaee0ef5
ANTI-AGING CREAM,Health & Beauty,﷼179,270,$ 23,https://cod.network/affiliate/offers/c9fadd30-b615-4ef4-b9c4-006519fd70d3
SOUNDPROOF PARTS FOR CAR DOOR,Cars & accessories,﷼179,494,$ 23,https://cod.network/affiliate/offers/201005d3-0c83-4f07-b9eb-532ff6297bd9
FACE PEELING MASK,Health & Beauty,﷼119,999,$ 7,https://cod.network/affiliate/offers/6951984a-f0ca-4ccf-87c6-34c44c3b658d
SMALL SHAVING MACHINE,Electronics & Accessories,﷼179,98,$ 20,https://cod.network/affiliate/offers/e0fbb51b-c91e-4d89-815b-61bcd1e6ccdd
INSTANT PAIN RELIEF OIL,Health & Beauty,﷼179,3445,$ 28,https://cod.network/affiliate/offers/333703a9-77ac-4014-bf3a-62dd80671657
ELECTRIC FOOT MASSAGER - KSA,Health & Beauty,﷼199,1144,$ 26,https://cod.network/affiliate/offers/d9028843-39ee-40a1-a9f1-222c97864701
COLLAGEN FACE SERUM SET - KSA,Health & Beauty,﷼189,2013,$ 27,https://cod.network/affiliate/offers/20185f49-325e-4cba-af40-a760e8a0f2e2
HAROUF PERFUME,Health & Beauty,﷼179,1619,$ 23,https://cod.network/affiliate/offers/e9e13efe-a92c-4c65-bddb-4f117605fb4a
HEEL PAIN OINTMENT,Health & Beauty,﷼169,906,$ 27,https://cod.network/affiliate/offers/20c6b681-9de9-4274-8cec-4dfae08b7854
HOUSEHOLD POPCORN MAKING MACHINE,"Home, Garden & Furniture",﷼199,619,$ 20,https://cod.network/affiliate/offers/19f56749-aaa4-4935-b65e-04c594e565c7
EYE CREAM ANTI AGING,Health & Beauty,﷼169,330,$ 21,https://cod.network/affiliate/offers/946f91a5-7dfb-4d1a-b2ac-991a8e74a991
JOINT PAIN RELIEF CREAM,Health & Beauty,﷼169,402,$ 22,https://cod.network/affiliate/offers/27720fce-47ec-4ec0-b127-b225374fca96
COLLAGEN GUM,Health & Beauty,﷼199,277,$ 22,https://cod.network/affiliate/offers/a47e3423-c219-44d9-a7ec-45461a1e6648
SLIMMING TEA BAGS,Health & Beauty,﷼189,639,$ 21,https://cod.network/affiliate/offers/feff8710-1af4-4f26-a772-9db664cea5c6
MORINGA LUNCH SUPPLEMENT,Health & Beauty,﷼189,1393,$ 23,https://cod.network/affiliate/offers/00bda8fb-dd26-41df-bfc6-c3a0d0094be6
SMART CAMERA,Electronics & Accessories,﷼189,229,$ 24,https://cod.network/affiliate/offers/7bc7468c-56b4-45a2-9069-492434490565
